PING 10.1.1.10 (10.1.1.10) 56(84) bytes of data.
64 bytes from 10.1.1.10: icmp_seq=84 ttl=64 time=4.48 ms
64 bytes from 10.1.1.10: icmp_seq=85 ttl=64 time=4.54 ms
64 bytes from 10.1.1.10: icmp_seq=86 ttl=64 time=40.1 ms
64 bytes from 10.1.1.10: icmp_seq=87 ttl=64 time=1975 ms
64 bytes from 10.1.1.10: icmp_seq=88 ttl=64 time=5.90 ms
64 bytes from 10.1.1.10: icmp_seq=89 ttl=64 time=23.6 ms
64 bytes from 10.1.1.10: icmp_seq=90 ttl=64 time=991 ms
64 bytes from 10.1.1.10: icmp_seq=91 ttl=64 time=7.14 ms
64 bytes from 10.1.1.10: icmp_seq=92 ttl=64 time=2.70 ms
64 bytes from 10.1.1.10: icmp_seq=93 ttl=64 time=1006 ms
64 bytes from 10.1.1.10: icmp_seq=94 ttl=64 time=8.70 ms
64 bytes from 10.1.1.10: icmp_seq=95 ttl=64 time=4.59 ms
64 bytes from 10.1.1.10: icmp_seq=96 ttl=64 time=4.38 ms
64 bytes from 10.1.1.10: icmp_seq=97 ttl=64 time=2.21 ms
64 bytes from 10.1.1.10: icmp_seq=98 ttl=64 time=3.29 ms
64 bytes from 10.1.1.10: icmp_seq=99 ttl=64 time=12.0 ms
64 bytes from 10.1.1.10: icmp_seq=100 ttl=64 time=4.24 ms

--- 10.1.1.10 ping statistics ---
100 packets transmitted, 98 received, 2% packet loss, time 126171ms
rtt min/avg/max/mdev = 1.466/131.664/1975.274/351.840 ms, pipe 2
